,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_autoaugment_mra4_255_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_autoaugment_mra4_255_is_rob4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_autoaugment_mra4_255_pred
510,510,1,1,68
511,511,1,1,11
512,512,0,0,36
513,513,0,0,30
514,514,1,0,54
515,515,1,1,53
516,516,0,0,73
517,517,1,0,36
518,518,1,1,83
519,519,1,1,54
520,520,1,1,64
521,521,0,0,45
522,522,0,0,78
523,523,0,0,35
524,524,1,1,62
525,525,1,0,46
526,526,1,1,95
527,527,1,0,88
528,528,0,0,94
529,529,1,1,18
530,530,0,0,85
531,531,1,1,63
532,532,1,1,8
533,533,1,0,33
534,534,1,0,35
535,535,0,0,44
536,536,1,0,76
537,537,1,0,19
538,538,1,1,99
539,539,0,0,3
540,540,0,0,65
541,541,0,0,80
542,542,1,1,2
543,543,1,0,27
544,544,1,0,27
545,545,1,0,93
546,546,1,0,81
547,547,1,1,54
548,548,1,1,71
549,549,0,0,79
550,550,1,1,25
551,551,1,0,35
552,552,0,0,40
553,553,1,0,72
554,554,1,0,8
555,555,1,1,42
556,556,1,0,62
557,557,1,1,56
558,558,0,0,44
559,559,1,0,47
560,560,0,0,91
561,561,0,0,4
562,562,1,1,20
563,563,1,0,83
564,564,0,0,4
565,565,0,0,37
566,566,1,0,28
567,567,1,1,26
568,568,1,0,45
569,569,0,0,55
570,570,1,1,36
571,571,1,1,68
572,572,0,0,8
573,573,1,0,2
574,574,0,0,55
575,575,0,1,76
576,576,0,0,50
577,577,1,1,38
578,578,1,0,58
579,579,1,1,96
580,580,0,0,80
581,581,1,1,87
582,582,1,1,82
583,583,1,0,22
584,584,1,1,83
585,585,1,1,41
586,586,0,0,54
587,587,0,0,79
588,588,1,1,10
589,589,0,0,21
590,590,1,0,44
591,591,1,0,81
592,592,1,1,91
593,593,1,1,56
594,594,1,0,9
595,595,1,1,24
596,596,0,1,6
597,597,1,1,30
598,598,1,1,1
599,599,1,1,39
600,600,0,0,97
601,601,0,1,30
602,602,1,1,83
603,603,0,0,3
604,604,1,1,43
605,605,1,0,84
606,606,1,0,66
607,607,0,0,42
608,608,0,0,80
609,609,1,0,77
610,610,0,0,35
611,611,1,1,82
612,612,1,0,81
613,613,1,0,20
614,614,1,1,0
615,615,1,1,48
616,616,0,0,11
617,617,0,0,45
618,618,0,0,61
619,619,1,1,13
620,620,0,0,49
621,621,1,1,39
622,622,1,0,76
623,623,1,1,0
624,624,1,1,17
625,625,1,1,64
626,626,1,1,48
627,627,1,1,90
628,628,1,1,93
629,629,1,1,82
630,630,1,1,75
631,631,0,0,71
632,632,1,1,97
633,633,0,0,4
634,634,0,0,62
635,635,1,1,60
636,636,1,1,61
637,637,1,0,32
638,638,1,1,26
639,639,1,0,84
640,640,0,0,15
641,641,1,1,12
642,642,1,1,85
643,643,0,0,76
644,644,1,1,8
645,645,0,0,62
646,646,0,0,5
647,647,1,1,94
648,648,0,0,4
649,649,0,0,87
650,650,1,1,15
651,651,1,0,66
652,652,1,1,89
653,653,1,0,97
654,654,0,0,88
655,655,1,0,0
656,656,0,0,28
657,657,1,1,5
658,658,1,0,56
659,659,1,1,36
660,660,1,1,45
661,661,1,1,1
662,662,1,1,94
663,663,0,0,80
664,664,0,0,94
665,665,1,1,82
666,666,1,1,17
667,667,1,0,64
668,668,1,1,99
669,669,0,0,28
670,670,1,0,30
671,671,0,0,67
672,672,1,1,83
673,673,0,0,72
674,674,1,1,1
675,675,1,1,28
676,676,1,0,77
677,677,1,1,91
678,678,0,0,45
679,679,1,1,68
680,680,1,1,14
681,681,1,1,14
682,682,1,1,1
683,683,1,1,92
684,684,1,1,97
685,685,1,1,45
686,686,0,0,90
687,687,1,1,21
688,688,1,1,37
689,689,1,0,32
690,690,0,0,30
691,691,1,1,88
692,692,1,1,86
693,693,0,0,82
694,694,1,1,14
695,695,0,0,62
696,696,1,0,74
697,697,1,1,25
698,698,0,0,67
699,699,1,1,78
700,700,1,1,77
701,701,0,0,34
702,702,0,0,72
703,703,1,1,10
704,704,0,1,79
705,705,1,1,26
706,706,1,0,31
707,707,1,1,85
708,708,1,0,78
709,709,0,0,27
710,710,0,0,63
711,711,1,0,81
712,712,0,0,55
713,713,1,1,1
714,714,1,1,82
715,715,0,0,53
716,716,1,0,21
717,717,1,0,15
718,718,0,0,59
719,719,1,1,57
720,720,0,0,26
721,721,1,1,76
722,722,1,1,60
723,723,1,1,87
724,724,1,0,46
725,725,0,0,93
726,726,1,1,61
727,727,1,1,75
728,728,1,1,62
729,729,1,0,21
730,730,1,1,61
731,731,1,0,78
732,732,1,1,90
733,733,1,0,68
734,734,1,1,94
735,735,1,0,88
736,736,0,0,76
737,737,0,0,43
738,738,1,1,83
739,739,1,0,32
740,740,1,0,93
741,741,0,1,65
742,742,0,0,66
743,743,0,0,27
744,744,1,1,61
745,745,1,1,41
746,746,0,1,4
747,747,1,1,83
748,748,1,0,35
749,749,1,1,82
750,750,1,0,50
751,751,1,1,15
752,752,1,1,48
753,753,0,0,40
754,754,1,0,4
755,755,1,1,71
756,756,0,0,79
757,757,1,0,98
758,758,0,0,10
759,759,0,0,24
760,760,1,1,85
761,761,1,1,25
762,762,1,1,96
763,763,1,0,60
764,764,0,0,27
765,765,1,1,80
766,766,1,0,13
767,767,1,1,90
768,768,1,1,54
769,769,0,0,17
770,770,1,1,76
771,771,1,1,39
772,772,1,1,95
773,773,1,1,24
774,774,1,1,7
775,775,1,1,64
776,776,1,1,70
777,777,0,0,4
778,778,1,1,81
779,779,1,1,0
780,780,1,1,12
781,781,1,1,64
782,782,0,0,15
783,783,1,0,79
784,784,1,1,86
785,785,1,1,60
786,786,1,1,22
787,787,0,0,72
788,788,1,1,82
789,789,1,1,14
790,790,1,1,48
791,791,0,0,66
792,792,1,1,55
793,793,1,1,53
794,794,0,0,5
795,795,1,0,1
796,796,1,0,58
797,797,1,1,94
798,798,1,1,70
799,799,0,0,27
800,800,0,0,1
801,801,1,0,23
802,802,1,0,46
803,803,1,0,58
804,804,1,1,99
805,805,1,1,78
806,806,0,0,61
807,807,1,1,53
808,808,0,0,59
809,809,1,0,97
810,810,1,1,65
811,811,1,0,15
812,812,0,0,34
813,813,1,1,52
814,814,1,1,63
815,815,1,1,32
816,816,0,0,3
817,817,1,1,36
818,818,0,0,15
819,819,1,1,7
820,820,0,0,81
821,821,0,0,43
822,822,1,0,13
823,823,1,1,22
824,824,0,0,71
825,825,1,0,54
826,826,0,0,92
827,827,0,0,22
828,828,1,0,57
829,829,0,0,23
830,830,1,1,11
831,831,0,0,82
832,832,0,0,33
833,833,1,0,31
834,834,1,1,26
835,835,0,0,97
836,836,1,0,96
837,837,1,0,71
838,838,1,0,90
839,839,1,1,39
840,840,0,0,5
841,841,1,1,47
842,842,1,1,35
843,843,1,0,19
844,844,0,0,96
845,845,0,0,55
846,846,1,0,32
847,847,0,0,83
848,848,1,1,53
849,849,1,1,21
850,850,1,1,98
851,851,1,1,6
852,852,1,0,88
853,853,1,1,71
854,854,0,0,2
855,855,0,0,70
856,856,1,1,55
857,857,1,0,99
858,858,1,1,24
859,859,0,0,67
860,860,0,0,91
861,861,0,1,96
862,862,1,1,16
863,863,0,0,56
864,864,1,1,9
865,865,0,0,61
866,866,0,0,65
867,867,1,1,68
868,868,1,1,24
869,869,1,0,96
870,870,0,0,11
871,871,1,0,40
872,872,0,0,18
873,873,1,1,53
874,874,1,0,10
875,875,0,0,26
876,876,1,1,41
877,877,1,1,77
878,878,1,1,54
879,879,0,0,25
880,880,1,1,20
881,881,0,0,66
882,882,1,1,76
883,883,0,0,19
884,884,0,0,54
885,885,1,0,26
886,886,0,0,27
887,887,1,1,2
888,888,1,0,96
889,889,1,1,69
890,890,1,0,36
891,891,1,1,18
892,892,0,0,81
893,893,1,1,66
894,894,0,0,47
895,895,1,1,37
896,896,1,1,99
897,897,0,0,3
898,898,1,1,12
899,899,0,0,15
900,900,1,0,15
901,901,0,0,33
902,902,1,0,15
903,903,1,0,16
904,904,0,0,96
905,905,1,1,99
906,906,0,0,8
907,907,1,1,28
908,908,0,1,99
909,909,1,0,51
910,910,0,0,77
911,911,0,0,25
912,912,1,1,8
913,913,1,1,56
914,914,0,0,52
915,915,0,0,64
916,916,0,0,98
917,917,1,1,77
918,918,1,0,45
919,919,0,1,3
920,920,0,0,44
921,921,0,0,90
922,922,1,1,37
923,923,1,1,48
924,924,0,0,52
925,925,0,0,33
926,926,1,1,65
927,927,1,0,96
928,928,1,1,14
929,929,0,0,63
930,930,1,0,2
931,931,1,1,60
932,932,1,1,9
933,933,1,1,68
934,934,0,0,88
935,935,1,1,23
936,936,0,0,6
937,937,0,0,63
938,938,1,0,54
939,939,0,0,76
940,940,1,0,23
941,941,1,1,54
942,942,0,0,26
943,943,1,1,56
944,944,1,0,23
945,945,1,1,42
946,946,1,0,81
947,947,1,0,66
948,948,0,0,66
949,949,1,0,47
950,950,1,0,47
951,951,0,0,23
952,952,1,1,42
953,953,1,1,51
954,954,0,0,67
955,955,0,0,25
956,956,0,0,71
957,957,1,0,13
958,958,0,1,30
959,959,1,1,34
960,960,1,0,74
961,961,1,1,47
962,962,1,0,40
963,963,1,0,51
964,964,1,0,6
965,965,1,0,3
966,966,1,1,76
967,967,1,1,52
968,968,1,1,53
969,969,1,1,34
970,970,1,1,60
971,971,0,0,74
972,972,1,0,28
973,973,1,1,24
974,974,0,0,25
975,975,1,1,69
976,976,0,0,89
977,977,1,1,90
978,978,1,1,70
979,979,0,0,25
980,980,1,0,77
981,981,1,0,43
982,982,1,1,43
983,983,1,0,78
984,984,1,1,81
985,985,0,0,41
986,986,0,0,79
987,987,1,0,35
988,988,0,0,46
989,989,1,1,21
990,990,1,1,49
991,991,1,0,96
992,992,0,0,89
993,993,1,0,37
994,994,0,0,35
995,995,0,0,81
996,996,1,0,36
997,997,0,0,76
998,998,1,1,53
999,999,1,0,91
1000,1000,0,0,80
1001,1001,0,0,23
1002,1002,1,1,94
1003,1003,1,0,40
1004,1004,1,1,72
1005,1005,1,0,90
1006,1006,1,1,86
1007,1007,0,0,93
1008,1008,1,0,30
1009,1009,1,0,92
1010,1010,1,1,25
1011,1011,1,1,60
1012,1012,0,0,35
1013,1013,0,0,85
1014,1014,1,1,0
1015,1015,1,1,9
1016,1016,0,0,17
1017,1017,1,0,1
1018,1018,1,0,50
1019,1019,1,1,90
1020,1020,1,0,27
1021,1021,1,1,52
1022,1022,0,0,4
1023,1023,1,0,48
1024,1024,1,0,71
1025,1025,1,1,12
1026,1026,1,1,97
1027,1027,1,1,0
1028,1028,0,0,21
1029,1029,1,1,41
1030,1030,1,1,21
1031,1031,0,0,86
1032,1032,1,0,51
1033,1033,0,0,97
1034,1034,0,0,81
1035,1035,0,0,77
1036,1036,1,0,81
1037,1037,1,0,73
1038,1038,1,1,55
1039,1039,1,1,30
1040,1040,0,1,3
1041,1041,1,0,10
1042,1042,0,0,43
1043,1043,1,1,8
1044,1044,1,1,6
1045,1045,1,1,9
1046,1046,0,0,27
1047,1047,0,0,35
1048,1048,1,1,78
1049,1049,0,0,29
1050,1050,1,1,16
1051,1051,0,0,15
1052,1052,0,0,31
1053,1053,0,0,72
1054,1054,1,1,20
1055,1055,1,0,3
1056,1056,1,1,81
1057,1057,1,1,26
1058,1058,0,0,17
1059,1059,1,1,45
1060,1060,1,0,15
1061,1061,0,0,3
1062,1062,1,1,57
1063,1063,1,0,60
1064,1064,0,0,71
1065,1065,1,0,36
1066,1066,1,1,23
1067,1067,0,0,4
1068,1068,0,1,27
1069,1069,0,0,15
1070,1070,1,1,41
1071,1071,1,0,55
1072,1072,0,0,6
1073,1073,1,1,25
1074,1074,1,1,49
1075,1075,1,1,28
1076,1076,1,1,20
1077,1077,1,0,33
1078,1078,1,1,7
1079,1079,0,1,27
1080,1080,1,1,7
1081,1081,1,0,89
1082,1082,1,1,1
1083,1083,1,1,90
1084,1084,0,0,33
1085,1085,1,0,15
1086,1086,1,1,23
1087,1087,1,0,93
1088,1088,1,0,96
1089,1089,0,0,52
1090,1090,1,1,29
1091,1091,1,0,29
1092,1092,1,0,75
1093,1093,1,1,93
1094,1094,0,0,89
1095,1095,1,1,70
1096,1096,1,1,48
1097,1097,1,1,82
1098,1098,0,1,40
1099,1099,0,0,68
1100,1100,0,0,27
1101,1101,1,0,38
1102,1102,0,0,43
1103,1103,1,1,63
1104,1104,1,1,76
1105,1105,0,0,33
1106,1106,1,1,54
1107,1107,1,0,60
1108,1108,1,0,1
1109,1109,1,1,49
1110,1110,1,1,1
1111,1111,1,1,92
1112,1112,0,0,38
1113,1113,1,0,30
1114,1114,0,0,55
1115,1115,1,0,62
1116,1116,1,0,25
1117,1117,1,1,26
1118,1118,0,0,79
1119,1119,0,0,72
1120,1120,1,1,21
1121,1121,0,0,33
1122,1122,1,0,82
1123,1123,1,1,80
1124,1124,1,0,19
1125,1125,1,1,93
1126,1126,0,0,2
1127,1127,0,0,10
1128,1128,1,1,81
1129,1129,1,1,69
1130,1130,1,1,9
1131,1131,1,1,91
1132,1132,0,0,47
1133,1133,1,1,34
1134,1134,0,0,27
1135,1135,1,1,9
1136,1136,1,1,0
1137,1137,0,0,70
1138,1138,0,0,53
1139,1139,0,0,66
1140,1140,1,1,65
1141,1141,1,0,33
1142,1142,1,1,5
1143,1143,1,1,13
1144,1144,1,1,52
1145,1145,1,0,58
1146,1146,0,0,79
1147,1147,0,0,40
1148,1148,1,0,37
1149,1149,1,0,63
1150,1150,1,1,61
1151,1151,1,1,19
1152,1152,1,1,2
1153,1153,1,1,49
1154,1154,1,0,64
1155,1155,1,1,58
1156,1156,0,0,77
1157,1157,1,1,62
1158,1158,1,0,52
1159,1159,1,1,53
1160,1160,0,0,7
1161,1161,0,0,96
1162,1162,0,0,78
1163,1163,0,1,60
1164,1164,1,0,67
1165,1165,0,0,2
1166,1166,1,1,95
1167,1167,1,0,24
1168,1168,1,0,46
1169,1169,0,0,35
1170,1170,1,0,31
1171,1171,1,0,83
1172,1172,1,0,16
1173,1173,1,1,2
1174,1174,0,0,52
1175,1175,0,0,44
1176,1176,0,0,31
1177,1177,0,0,54
1178,1178,1,1,60
1179,1179,0,0,21
1180,1180,1,1,95
1181,1181,1,0,89
1182,1182,0,0,33
1183,1183,1,0,63
1184,1184,1,1,15
1185,1185,0,0,93
1186,1186,1,1,63
1187,1187,1,0,85
1188,1188,0,0,37
1189,1189,1,0,38
1190,1190,1,0,66
1191,1191,1,0,99
1192,1192,0,0,33
1193,1193,1,0,83
1194,1194,1,1,12
1195,1195,1,0,93
1196,1196,0,0,45
1197,1197,1,1,21
1198,1198,1,0,47
1199,1199,1,0,21
1200,1200,1,0,43
1201,1201,0,0,80
1202,1202,1,1,55
1203,1203,1,0,36
1204,1204,0,0,82
1205,1205,1,0,69
1206,1206,1,0,5
1207,1207,1,0,29
1208,1208,1,1,41
1209,1209,1,1,14
1210,1210,1,1,41
1211,1211,0,0,79
1212,1212,1,1,58
1213,1213,1,0,60
1214,1214,0,1,26
1215,1215,0,0,10
1216,1216,1,1,19
1217,1217,1,1,19
1218,1218,1,1,48
1219,1219,1,0,5
1220,1220,0,0,96
1221,1221,1,0,69
1222,1222,1,1,77
1223,1223,0,0,23
1224,1224,0,0,34
1225,1225,1,1,92
1226,1226,1,1,31
1227,1227,1,0,34
1228,1228,1,1,36
1229,1229,1,1,30
1230,1230,0,0,42
1231,1231,1,1,82
1232,1232,1,0,88
1233,1233,1,0,7
1234,1234,1,0,38
1235,1235,1,1,57
1236,1236,0,0,54
1237,1237,1,1,23
1238,1238,0,0,35
1239,1239,0,0,25
1240,1240,0,0,79
1241,1241,1,1,90
1242,1242,1,1,76
1243,1243,1,1,28
1244,1244,1,1,24
1245,1245,1,1,6
1246,1246,1,0,84
1247,1247,1,0,76
1248,1248,0,0,79
1249,1249,1,1,28
1250,1250,0,0,35
1251,1251,1,1,96
1252,1252,0,0,24
1253,1253,1,0,64
1254,1254,1,0,45
1255,1255,1,1,54
1256,1256,1,1,26
1257,1257,1,0,79
1258,1258,0,0,54
1259,1259,1,0,46
1260,1260,1,0,89
1261,1261,1,1,89
1262,1262,1,1,64
1263,1263,1,1,93
1264,1264,1,1,39
1265,1265,1,1,53
1266,1266,0,0,44
1267,1267,1,1,50
1268,1268,1,1,56
1269,1269,1,1,84
1270,1270,0,0,11
1271,1271,0,0,85
1272,1272,1,0,5
1273,1273,1,0,51
1274,1274,1,0,5
1275,1275,0,0,88
1276,1276,1,0,68
1277,1277,0,0,48
1278,1278,1,1,92
1279,1279,1,1,93
1280,1280,0,0,26
1281,1281,0,0,56
1282,1282,1,0,37
1283,1283,0,0,4
1284,1284,1,1,81
1285,1285,1,1,67
1286,1286,1,1,41
1287,1287,0,0,11
1288,1288,1,1,99
1289,1289,1,1,41
1290,1290,1,0,79
1291,1291,1,1,90
1292,1292,1,1,59
1293,1293,0,0,52
1294,1294,0,0,2
1295,1295,0,1,99
1296,1296,1,0,17
1297,1297,1,1,64
1298,1298,1,1,90
1299,1299,1,0,96
1300,1300,1,0,3
1301,1301,0,0,43
1302,1302,1,0,3
1303,1303,1,0,45
1304,1304,1,0,0
1305,1305,1,0,68
1306,1306,1,1,33
1307,1307,0,0,30
1308,1308,1,1,0
1309,1309,1,0,18
