,sample_idx,Gowal2020Uncovering_28_10_extra_mra1_255_is_acc,Gowal2020Uncovering_28_10_extra_mra1_255_is_rob1_255,Gowal2020Uncovering_28_10_extra_mra1_255_pred
189,189,1,1,0
190,190,1,1,5
191,191,1,1,8
192,192,1,1,0
193,193,1,1,1
194,194,1,1,7
195,195,1,1,2
196,196,1,1,8
197,197,1,1,8
198,198,1,1,7
199,199,1,1,8
200,200,1,1,5
201,201,1,1,1
202,202,1,1,8
203,203,1,1,7
204,204,1,1,1
205,205,1,1,3
206,206,1,1,0
207,207,1,1,5
208,208,1,1,7
209,209,1,1,9
210,210,1,1,7
211,211,1,1,4
212,212,1,1,5
213,213,1,1,9
214,214,1,1,8
215,215,1,1,0
216,216,1,1,7
217,217,1,1,9
218,218,1,1,8
219,219,1,1,2
220,220,1,1,7
221,221,1,1,6
222,222,1,1,9
223,223,1,1,4
224,224,0,0,4
225,225,1,1,9
226,226,0,0,4
227,227,1,1,4
228,228,1,1,7
229,229,1,1,6
230,230,1,1,5
231,231,1,1,1
232,232,1,1,5
233,233,1,1,8
234,234,1,1,8
235,235,1,1,0
236,236,1,1,4
237,237,1,1,0
238,238,1,1,5
239,239,1,1,5
240,240,1,1,1
241,241,1,1,1
242,242,1,1,8
243,243,1,1,9
244,244,1,1,0
245,245,1,1,3
246,246,1,1,1
247,247,1,0,9
248,248,1,1,2
249,249,1,1,2
250,250,1,1,5
251,251,1,1,3
252,252,1,1,9
253,253,1,1,9
254,254,1,1,4
255,255,1,1,0
256,256,1,1,3
257,257,1,1,0
258,258,1,1,0
259,259,1,1,9
260,260,1,1,8
261,261,1,1,1
262,262,1,1,5
263,263,1,1,7
264,264,1,0,0
265,265,1,1,8
266,266,0,0,0
267,267,1,1,4
268,268,1,1,7
269,269,1,1,0
270,270,1,1,2
271,271,1,1,3
272,272,1,1,6
273,273,1,1,3
274,274,1,1,8
275,275,0,1,3
276,276,1,1,0
277,277,1,1,3
278,278,1,1,4
279,279,1,1,3
280,280,1,1,9
281,281,1,1,0
282,282,1,1,6
283,283,1,1,1
284,284,1,1,0
285,285,1,1,9
286,286,1,1,1
287,287,1,1,0
288,288,1,1,7
289,289,1,1,9
290,290,1,1,1
291,291,1,1,2
292,292,1,1,6
293,293,1,1,9
294,294,1,1,3
295,295,1,1,4
296,296,1,1,6
297,297,1,1,0
298,298,1,1,0
299,299,1,1,6
300,300,1,1,6
301,301,1,1,6
302,302,1,1,3
303,303,1,1,2
304,304,1,1,6
305,305,1,1,1
306,306,1,1,8
307,307,1,1,2
308,308,1,1,1
309,309,0,0,4
310,310,1,1,8
311,311,1,1,6
312,312,0,1,0
313,313,1,1,0
314,314,1,1,4
315,315,1,1,0
316,316,1,1,7
317,317,1,1,7
318,318,1,1,5
319,319,1,1,5
320,320,1,1,3
321,321,1,1,5
322,322,1,1,2
323,323,1,1,3
324,324,1,1,4
325,325,1,1,1
326,326,1,1,7
327,327,1,1,5
328,328,1,1,4
329,329,1,1,6
330,330,1,1,1
331,331,1,1,9
332,332,1,1,3
333,333,1,1,6
334,334,1,1,6
335,335,1,1,9
336,336,1,1,3
337,337,1,1,8
338,338,1,1,0
339,339,1,1,7
340,340,1,0,2
341,341,1,1,6
342,342,1,1,2
343,343,1,1,5
344,344,1,1,8
345,345,1,1,5
346,346,1,1,4
347,347,1,1,6
348,348,1,1,8
349,349,1,1,9
350,350,1,1,9
351,351,1,1,1
352,352,1,1,0
353,353,1,1,2
354,354,1,1,2
355,355,0,1,4
356,356,0,0,5
357,357,1,1,2
358,358,1,1,8
359,359,1,1,0
360,360,1,1,9
361,361,1,1,5
362,362,1,1,8
363,363,1,1,1
364,364,1,1,9
365,365,1,1,4
366,366,1,1,1
367,367,1,1,3
368,368,1,0,8
369,369,1,1,1
370,370,1,0,4
371,371,1,1,7
372,372,1,1,9
373,373,1,1,4
374,374,1,1,2
375,375,1,1,7
376,376,1,1,0
377,377,1,1,7
378,378,0,0,8
379,379,1,1,6
380,380,1,1,6
381,381,1,1,9
382,382,1,1,0
383,383,1,1,9
384,384,0,0,5
385,385,1,1,8
386,386,1,1,7
387,387,1,1,2
388,388,1,1,2
389,389,1,1,5
390,390,1,1,1
391,391,1,1,2
392,392,1,1,6
393,393,1,1,2
394,394,1,1,9
395,395,1,1,6
396,396,1,1,2
397,397,1,1,3
398,398,1,1,0
399,399,1,1,3
400,400,1,1,9
401,401,1,1,8
402,402,1,1,7
403,403,1,1,8
404,404,1,1,8
405,405,1,0,4
406,406,1,1,0
407,407,1,1,1
408,408,1,1,8
409,409,1,1,2
410,410,1,1,7
411,411,1,1,9
412,412,1,1,3
413,413,1,1,6
414,414,1,1,1
415,415,1,1,9
416,416,1,1,0
417,417,1,1,7
418,418,1,1,3
419,419,1,1,7
420,420,1,1,4
421,421,1,1,5
422,422,0,0,8
423,423,1,1,0
424,424,1,1,2
425,425,1,1,9
426,426,1,0,3
427,427,1,1,4
428,428,1,1,0
429,429,1,1,6
430,430,1,1,2
431,431,1,1,5
432,432,1,1,3
433,433,1,1,7
434,434,1,1,3
435,435,1,1,7
436,436,1,1,2
437,437,1,1,5
438,438,1,1,3
439,439,1,1,1
440,440,1,1,1
441,441,1,1,4
442,442,1,1,9
443,443,1,1,9
444,444,1,1,5
445,445,1,1,7
446,446,1,1,5
447,447,1,1,0
448,448,1,1,2
449,449,1,1,2
450,450,1,1,2
451,451,1,1,9
452,452,1,1,7
453,453,1,1,3
454,454,1,1,9
455,455,1,1,4
456,456,0,0,4
457,457,1,1,5
458,458,1,0,4
459,459,1,1,6
460,460,1,1,5
461,461,1,1,6
462,462,1,1,1
463,463,1,1,4
464,464,1,1,3
465,465,1,1,4
466,466,1,1,4
467,467,1,1,3
468,468,1,1,7
469,469,1,1,8
470,470,1,0,3
471,471,1,1,7
472,472,1,1,8
473,473,1,1,0
474,474,1,1,5
475,475,1,1,7
476,476,1,1,6
477,477,1,1,0
478,478,1,1,5
479,479,1,1,4
480,480,1,1,8
481,481,1,1,6
482,482,1,1,8
483,483,1,1,5
484,484,1,1,5
485,485,0,0,8
486,486,1,1,9
487,487,1,1,9
488,488,1,1,5
489,489,1,1,0
490,490,1,1,1
491,491,1,1,0
492,492,1,1,8
493,493,1,1,1
494,494,1,1,1
495,495,1,1,8
496,496,1,1,0
497,497,1,1,2
498,498,1,1,2
499,499,1,1,0
500,500,1,1,4
501,501,1,1,6
502,502,1,1,5
503,503,1,1,4
504,504,1,1,9
505,505,1,1,4
506,506,1,1,7
507,507,1,1,9
508,508,1,1,9
509,509,1,1,4
510,510,1,1,5
511,511,1,1,6
512,512,1,1,6
513,513,1,1,1
514,514,1,1,5
515,515,1,1,3
516,516,1,1,8
517,517,1,1,9
518,518,0,0,3
519,519,1,1,8
520,520,1,1,5
521,521,1,1,7
522,522,1,1,0
523,523,1,1,7
524,524,1,1,0
525,525,1,1,5
526,526,1,1,0
527,527,1,1,0
528,528,1,1,4
529,529,1,1,6
530,530,1,1,9
531,531,1,1,0
532,532,1,1,9
533,533,1,1,5
534,534,1,1,6
535,535,1,1,6
536,536,1,1,6
537,537,1,1,2
538,538,1,1,9
539,539,1,1,0
540,540,1,1,1
541,541,1,1,7
542,542,1,1,6
543,543,1,1,7
544,544,1,1,5
545,545,1,1,9
546,546,1,1,1
547,547,1,1,6
548,548,1,1,2
549,549,1,1,5
550,550,1,0,5
551,551,1,1,5
552,552,1,1,8
553,553,1,1,5
554,554,1,1,9
555,555,1,1,4
556,556,1,1,6
557,557,1,1,4
558,558,1,1,3
559,559,1,1,2
560,560,1,1,0
561,561,1,1,7
562,562,1,0,6
563,563,1,1,2
564,564,1,1,2
565,565,1,1,3
566,566,1,1,9
567,567,1,1,7
568,568,1,1,9
569,569,1,1,2
570,570,1,1,6
571,571,1,1,7
572,572,1,1,1
573,573,1,1,3
574,574,1,1,6
575,575,1,1,6
576,576,1,1,8
577,577,1,1,9
578,578,1,1,7
579,579,1,1,5
580,580,1,1,4
581,581,1,1,0
582,582,1,1,8
583,583,1,1,4
584,584,1,1,0
585,585,1,1,9
586,586,1,1,3
587,587,1,1,4
588,588,1,1,8
589,589,1,1,9
590,590,1,1,6
591,591,1,1,9
592,592,1,1,2
593,593,1,1,6
594,594,1,1,1
595,595,1,1,4
596,596,1,1,7
597,597,1,1,3
598,598,1,0,5
599,599,1,1,3
600,600,1,1,8
601,601,1,1,5
602,602,1,1,0
603,603,1,1,2
604,604,1,1,1
605,605,1,1,6
606,606,1,1,4
607,607,1,1,3
608,608,1,1,3
609,609,1,1,9
610,610,1,1,6
611,611,1,1,9
612,612,1,1,8
613,613,1,1,8
614,614,1,1,5
615,615,1,1,8
616,616,1,1,6
617,617,1,1,6
618,618,1,1,2
619,619,1,1,1
620,620,1,1,7
621,621,1,1,7
622,622,1,1,1
623,623,1,1,2
624,624,1,1,7
625,625,1,1,9
626,626,1,1,9
627,627,1,1,4
628,628,1,1,4
629,629,1,1,1
630,630,1,1,2
631,631,1,1,5
632,632,1,1,6
633,633,1,1,8
634,634,1,1,7
635,635,1,1,6
636,636,1,1,8
637,637,1,1,3
638,638,1,1,0
639,639,0,1,3
640,640,1,1,5
641,641,1,1,3
642,642,1,1,0
643,643,1,1,7
644,644,1,1,9
645,645,1,1,1
646,646,1,1,3
647,647,1,1,4
648,648,1,1,4
649,649,1,1,5
650,650,1,1,3
651,651,1,1,9
652,652,1,1,5
653,653,1,1,6
654,654,1,1,9
655,655,1,1,2
656,656,1,1,1
657,657,1,1,1
658,658,1,1,4
659,659,1,1,1
660,660,1,1,9
661,661,1,1,4
662,662,1,1,7
663,663,1,1,6
664,664,1,1,3
665,665,1,0,8
666,666,1,1,9
667,667,1,1,0
668,668,1,1,1
669,669,1,1,3
670,670,1,1,6
671,671,1,1,3
672,672,0,1,8
673,673,1,1,3
674,674,1,1,2
675,675,1,1,0
676,676,1,1,3
677,677,1,1,1
678,678,1,1,0
679,679,1,1,5
680,680,1,1,9
681,681,1,1,6
682,682,1,0,4
683,683,1,1,8
684,684,1,1,9
685,685,0,0,2
686,686,1,1,9
687,687,1,1,6
688,688,1,0,3
689,689,0,0,6
690,690,1,1,3
691,691,1,1,2
692,692,1,1,2
693,693,1,1,7
694,694,1,1,8
695,695,1,1,3
696,696,1,1,8
697,697,1,1,2
698,698,1,1,7
699,699,1,1,5
700,700,1,1,7
701,701,1,1,2
702,702,1,1,4
703,703,1,1,8
704,704,1,1,7
705,705,1,1,4
706,706,1,1,2
707,707,1,1,9
708,708,1,1,8
709,709,1,1,8
710,710,0,0,2
711,711,1,1,8
712,712,1,1,8
713,713,1,1,7
714,714,1,1,4
715,715,1,0,3
716,716,1,1,3
717,717,1,1,8
718,718,1,1,4
719,719,1,1,9
720,720,1,1,4
721,721,1,1,8
722,722,1,1,8
723,723,1,1,1
724,724,1,1,8
725,725,0,0,8
726,726,1,1,1
727,727,1,1,3
728,728,1,1,6
729,729,1,1,5
730,730,1,1,4
731,731,1,1,2
732,732,1,1,7
733,733,1,1,9
734,734,0,0,1
735,735,1,1,4
736,736,1,1,1
737,737,1,1,4
738,738,1,1,1
739,739,1,1,3
740,740,1,1,2
741,741,1,1,7
742,742,1,1,0
743,743,1,1,7
744,744,1,1,9
745,745,1,1,7
746,746,1,1,6
747,747,1,1,6
748,748,1,1,2
749,749,1,1,5
750,750,1,1,9
751,751,1,1,2
752,752,1,1,9
753,753,1,1,1
754,754,1,1,2
755,755,1,1,2
756,756,1,1,6
757,757,1,1,8
758,758,1,1,2
759,759,1,1,1
760,760,1,0,3
761,761,1,1,6
762,762,1,1,6
763,763,1,1,0
764,764,1,1,1
765,765,1,1,2
766,766,1,1,7
767,767,1,1,0
768,768,1,0,5
769,769,1,1,4
770,770,1,1,6
771,771,1,1,1
772,772,1,1,6
773,773,1,1,4
774,774,1,1,0
775,775,1,1,2
776,776,0,0,5
777,777,1,1,6
778,778,1,1,0
779,779,1,1,5
780,780,1,1,9
781,781,1,1,1
782,782,1,1,7
783,783,1,1,6
784,784,1,1,7
785,785,1,1,0
786,786,1,1,3
787,787,1,1,9
788,788,1,1,6
789,789,1,1,8
790,790,1,1,3
791,791,1,1,0
792,792,1,1,3
793,793,1,0,4
794,794,1,1,7
795,795,1,1,7
796,796,1,0,1
797,797,1,1,4
798,798,1,1,7
799,799,1,1,2
800,800,1,1,7
801,801,1,1,1
802,802,1,1,4
803,803,1,1,7
804,804,1,1,4
805,805,1,1,4
806,806,1,1,8
807,807,1,1,4
808,808,1,1,7
809,809,1,1,7
810,810,0,1,2
811,811,0,1,5
812,812,1,1,7
813,813,1,1,2
814,814,1,1,0
815,815,1,1,8
816,816,1,1,9
817,817,1,1,5
818,818,1,1,8
819,819,1,1,3
820,820,1,1,6
821,821,1,1,2
822,822,1,1,0
823,823,1,1,8
824,824,1,1,7
825,825,1,1,3
826,826,1,1,7
827,827,1,1,6
828,828,1,1,5
829,829,1,1,3
830,830,1,1,1
831,831,1,0,3
832,832,1,1,2
833,833,1,1,2
834,834,1,1,5
835,835,1,1,4
836,836,1,0,1
837,837,1,1,2
838,838,1,1,9
839,839,1,1,2
840,840,1,1,7
841,841,1,1,0
842,842,1,1,7
843,843,1,1,2
844,844,1,1,1
845,845,1,1,3
846,846,1,1,2
847,847,1,1,0
848,848,1,1,2
849,849,1,1,4
850,850,0,0,5
851,851,1,1,9
852,852,1,1,8
853,853,1,1,9
854,854,1,1,0
855,855,1,1,7
856,856,1,1,7
857,857,1,1,0
858,858,1,1,7
859,859,1,1,8
860,860,1,0,4
861,861,1,1,6
862,862,1,1,3
863,863,1,1,3
864,864,1,1,0
865,865,1,1,1
866,866,1,1,3
867,867,1,1,7
868,868,1,1,0
869,869,1,1,1
870,870,1,1,3
871,871,1,1,1
872,872,1,1,4
873,873,1,1,2
874,874,1,1,3
875,875,1,1,8
876,876,1,1,4
877,877,1,1,2
878,878,1,1,3
879,879,1,1,7
880,880,1,1,8
881,881,1,1,4
882,882,0,0,0
883,883,1,1,0
884,884,1,1,9
885,885,1,1,0
886,886,1,1,0
887,887,1,1,1
888,888,1,1,0
889,889,1,1,4
890,890,1,1,4
891,891,1,1,6
892,892,1,1,7
893,893,1,1,6
894,894,1,1,1
895,895,1,1,1
896,896,1,1,3
897,897,1,1,7
898,898,1,1,3
899,899,1,1,5
900,900,1,1,2
901,901,1,1,6
902,902,1,1,6
903,903,1,1,5
904,904,1,1,8
905,905,1,1,7
906,906,1,1,1
907,907,1,1,6
908,908,1,1,8
909,909,1,1,8
910,910,1,0,5
911,911,1,1,3
912,912,1,0,0
913,913,1,1,4
914,914,1,1,0
915,915,1,1,1
916,916,0,0,4
917,917,1,1,8
918,918,1,1,8
919,919,1,1,0
920,920,1,1,6
921,921,1,1,9
922,922,1,1,9
923,923,1,1,9
924,924,1,1,5
925,925,1,1,5
926,926,1,1,8
927,927,1,1,6
928,928,1,1,0
929,929,1,1,0
930,930,1,1,4
931,931,1,1,2
932,932,1,1,3
933,933,1,1,2
934,934,1,1,7
935,935,1,1,2
936,936,1,1,2
937,937,1,1,5
938,938,1,1,9
939,939,1,1,8
940,940,1,1,9
941,941,1,1,1
942,942,1,1,7
943,943,1,1,4
944,944,1,1,0
945,945,1,1,3
946,946,1,1,0
947,947,1,1,1
948,948,1,1,3
949,949,1,1,8
950,950,1,1,3
951,951,1,1,9
952,952,1,1,6
953,953,1,1,1
954,954,1,1,4
955,955,1,1,7
956,956,1,0,0
957,957,0,0,5
958,958,1,1,7
959,959,1,1,8
960,960,1,1,9
961,961,1,1,1
962,962,1,1,1
963,963,1,1,6
964,964,1,1,6
965,965,0,1,3
966,966,1,1,6
967,967,1,1,9
968,968,1,1,1
969,969,1,1,9
970,970,1,1,9
971,971,1,1,4
972,972,1,1,2
973,973,1,1,1
974,974,1,0,7
975,975,1,1,0
976,976,1,1,6
977,977,1,1,8
978,978,1,1,1
979,979,1,1,9
980,980,1,1,2
981,981,1,1,9
982,982,1,0,0
983,983,1,1,4
984,984,1,1,7
985,985,1,1,8
986,986,1,1,3
987,987,1,1,1
988,988,1,1,2
989,989,1,1,0
990,990,1,1,1
991,991,1,0,5
992,992,1,1,8
993,993,0,0,7
994,994,1,1,6
995,995,1,1,3
996,996,1,1,8
997,997,1,1,1
998,998,1,1,3
999,999,1,1,8
1000,1000,1,1,5
1001,1001,0,1,8
1002,1002,1,1,8
1003,1003,1,1,4
1004,1004,1,1,8
1005,1005,1,1,1
1006,1006,1,1,1
1007,1007,1,1,8
1008,1008,1,1,9
1009,1009,1,1,6
1010,1010,1,1,0
1011,1011,1,1,8
1012,1012,1,1,6
1013,1013,1,1,1
1014,1014,1,1,3
1015,1015,1,1,4
1016,1016,1,1,1
1017,1017,1,1,6
1018,1018,1,1,0
1019,1019,1,1,5
1020,1020,1,1,1
1021,1021,1,1,1
1022,1022,1,1,0
1023,1023,1,1,0
1024,1024,1,0,3
1025,1025,1,1,5
1026,1026,1,1,0
1027,1027,1,1,0
1028,1028,1,1,6
1029,1029,1,1,6
1030,1030,1,1,3
1031,1031,1,1,3
1032,1032,1,0,6
1033,1033,1,1,3
1034,1034,1,1,6
1035,1035,1,1,6
1036,1036,1,1,0
1037,1037,1,1,7
1038,1038,1,1,2
1039,1039,1,1,2
1040,1040,1,1,7
1041,1041,1,1,5
1042,1042,1,0,5
1043,1043,1,1,2
1044,1044,1,1,8
1045,1045,1,1,5
1046,1046,1,1,2
1047,1047,1,1,1
1048,1048,1,1,1
1049,1049,1,1,4
1050,1050,1,1,3
1051,1051,1,1,2
1052,1052,1,1,0
1053,1053,1,1,3
1054,1054,1,1,1
1055,1055,1,1,5
1056,1056,1,1,3
1057,1057,1,0,7
1058,1058,1,1,6
1059,1059,1,1,8
1060,1060,1,1,9
1061,1061,1,1,1
1062,1062,1,1,6
1063,1063,1,1,4
1064,1064,1,1,9
1065,1065,1,1,3
1066,1066,0,1,1
1067,1067,1,1,0
1068,1068,1,1,9
1069,1069,1,1,6
1070,1070,1,1,3
1071,1071,1,1,6
1072,1072,1,0,0
1073,1073,1,1,7
1074,1074,1,1,3
1075,1075,1,1,8
1076,1076,1,1,0
1077,1077,1,1,0
1078,1078,1,1,0
1079,1079,1,1,6
1080,1080,1,1,6
1081,1081,1,1,6
1082,1082,1,1,9
1083,1083,1,1,2
1084,1084,1,1,5
1085,1085,1,1,4
1086,1086,1,1,4
1087,1087,1,1,6
1088,1088,1,0,3
1089,1089,1,1,6
1090,1090,1,0,0
1091,1091,1,1,8
1092,1092,1,1,6
1093,1093,1,1,0
1094,1094,1,1,6
1095,1095,1,1,2
1096,1096,1,1,7
1097,1097,1,1,5
1098,1098,1,1,1
1099,1099,1,1,2
1100,1100,1,1,7
1101,1101,1,1,8
1102,1102,1,1,8
1103,1103,1,1,0
1104,1104,1,1,9
1105,1105,1,1,4
1106,1106,1,1,9
1107,1107,1,1,7
1108,1108,1,1,2
1109,1109,1,1,0
1110,1110,1,1,2
1111,1111,1,1,8
1112,1112,1,1,3
1113,1113,1,1,8
1114,1114,1,1,9
1115,1115,1,1,1
1116,1116,1,1,5
1117,1117,1,1,5
1118,1118,1,1,4
1119,1119,1,1,7
1120,1120,1,1,5
1121,1121,1,1,3
1122,1122,1,1,8
1123,1123,1,1,3
1124,1124,1,1,3
1125,1125,1,1,6
1126,1126,0,1,0
1127,1127,1,1,8
1128,1128,1,1,4
1129,1129,1,1,3
1130,1130,1,1,7
1131,1131,1,1,1
1132,1132,1,1,2
1133,1133,1,1,4
1134,1134,1,1,1
1135,1135,1,1,6
1136,1136,1,1,9
1137,1137,1,1,0
1138,1138,1,1,5
1139,1139,1,1,8
1140,1140,1,1,6
1141,1141,1,1,1
1142,1142,1,1,8
1143,1143,1,1,6
1144,1144,1,1,1
1145,1145,1,1,4
1146,1146,1,1,2
1147,1147,0,1,9
1148,1148,1,1,2
1149,1149,1,1,7
1150,1150,0,1,4
1151,1151,1,1,2
1152,1152,1,1,0
1153,1153,1,1,8
1154,1154,1,1,6
1155,1155,1,1,9
1156,1156,1,1,1
1157,1157,1,1,7
1158,1158,1,1,1
1159,1159,1,1,8
1160,1160,1,1,8
1161,1161,1,1,0
1162,1162,1,1,7
1163,1163,0,1,5
1164,1164,1,1,8
1165,1165,1,1,0
1166,1166,1,1,3
1167,1167,0,0,2
1168,1168,1,1,3
1169,1169,1,1,7
1170,1170,1,1,7
1171,1171,1,1,9
1172,1172,1,1,2
1173,1173,1,1,3
1174,1174,1,1,1
1175,1175,1,1,9
1176,1176,1,1,1
1177,1177,1,1,9
1178,1178,1,1,6
1179,1179,1,1,3
1180,1180,1,1,3
1181,1181,0,0,6
1182,1182,1,1,1
1183,1183,1,1,0
1184,1184,1,1,6
1185,1185,1,1,1
1186,1186,1,1,4
1187,1187,1,1,1
1188,1188,1,1,0
1189,1189,1,1,0
1190,1190,1,1,1
1191,1191,1,1,1
1192,1192,1,1,6
1193,1193,1,1,5
1194,1194,1,1,4
1195,1195,1,1,6
1196,1196,1,1,2
1197,1197,1,1,0
1198,1198,1,1,7
1199,1199,1,1,9
1200,1200,1,1,8
1201,1201,1,1,7
1202,1202,1,1,2
1203,1203,1,1,0
1204,1204,1,1,6
1205,1205,1,1,8
1206,1206,1,1,1
1207,1207,1,1,4
1208,1208,1,1,3
1209,1209,1,1,7
1210,1210,1,1,0
1211,1211,1,1,6
1212,1212,1,1,1
1213,1213,1,1,8
1214,1214,1,1,5
1215,1215,1,1,7
1216,1216,1,1,8
1217,1217,1,1,4
1218,1218,1,1,8
1219,1219,1,1,3
1220,1220,1,1,9
1221,1221,1,1,9
1222,1222,1,1,9
1223,1223,1,1,8
1224,1224,1,1,7
1225,1225,1,1,6
1226,1226,1,1,6
1227,1227,0,1,5
1228,1228,1,1,5
1229,1229,1,1,1
1230,1230,1,1,5
1231,1231,1,1,9
1232,1232,1,1,1
1233,1233,1,1,4
1234,1234,1,1,1
1235,1235,1,1,5
1236,1236,1,0,7
1237,1237,1,1,0
1238,1238,1,1,1
1239,1239,1,1,5
1240,1240,1,1,2
1241,1241,1,1,0
1242,1242,1,1,8
1243,1243,1,1,8
1244,1244,1,0,5
1245,1245,1,1,6
1246,1246,1,1,7
1247,1247,1,1,3
1248,1248,1,0,2
1249,1249,1,1,4
1250,1250,1,1,7
1251,1251,1,1,2
1252,1252,1,1,5
1253,1253,1,1,8
1254,1254,1,1,2
1255,1255,1,1,4
1256,1256,1,1,9
1257,1257,1,1,2
1258,1258,1,1,1
1259,1259,1,1,8
1260,1260,1,1,1
1261,1261,1,1,9
1262,1262,1,1,8
1263,1263,1,0,8
1264,1264,1,1,8
1265,1265,1,0,9
1266,1266,1,1,0
1267,1267,1,1,4
1268,1268,1,1,3
1269,1269,1,1,3
1270,1270,1,1,1
1271,1271,1,1,8
1272,1272,1,1,4
1273,1273,1,1,6
1274,1274,1,1,3
1275,1275,1,1,3
1276,1276,1,1,5
1277,1277,1,0,2
1278,1278,1,1,2
1279,1279,1,1,8
1280,1280,1,1,3
1281,1281,1,1,8
1282,1282,1,1,9
1283,1283,1,1,5
1284,1284,1,1,8
1285,1285,1,1,9
1286,1286,1,1,8
1287,1287,1,1,9
1288,1288,1,1,1
1289,1289,1,1,6
1290,1290,1,1,5
1291,1291,1,1,9
1292,1292,1,1,4
1293,1293,1,1,4
1294,1294,1,1,8
1295,1295,1,1,0
1296,1296,1,1,7
1297,1297,1,1,2
1298,1298,1,1,9
1299,1299,1,1,7
1300,1300,1,1,4
1301,1301,1,1,1
1302,1302,1,1,6
1303,1303,1,1,4
1304,1304,1,1,4
1305,1305,1,1,9
1306,1306,1,1,1
1307,1307,1,1,2
1308,1308,1,1,5
1309,1309,1,1,6
1310,1310,1,1,0
1311,1311,1,1,8
1312,1312,1,1,6
1313,1313,1,1,1
1314,1314,1,1,9
1315,1315,1,1,4
1316,1316,1,1,5
