,sample_idx,Rebuffi2021Fixing_28_10_cutmix_ddpm_adv_conf1_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_adv_conf2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_adv_conf4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_acc,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_rob1_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_rob2_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_is_rob4_255,Rebuffi2021Fixing_28_10_cutmix_ddpm_nat_conf,Rebuffi2021Fixing_28_10_cutmix_ddpm_pred
24,24,0.6718484163284302,0.6667569279670715,0.6544148921966553,1,1,1,1,0.6761424541473389,21
25,25,0.6419214010238647,0.6317154169082642,0.6095826029777527,1,1,1,1,0.65121990442276,16
26,26,0.915225088596344,0.910198450088501,0.898525595664978,1,1,1,1,0.9196279644966125,39
27,27,0.8230476379394531,0.8193649649620056,0.8104916214942932,1,1,1,1,0.8269957900047302,8
28,28,0.5458571314811707,0.5205984711647034,0.4653957188129425,1,1,1,1,0.5692463517189026,8
29,29,0.30761581659317017,0.2828519940376282,0.23550936579704285,0,1,1,1,0.3328803777694702,84
30,30,0.9025128483772278,0.9013208150863647,0.8986068367958069,1,1,1,1,0.9034922122955322,20
31,31,0.32867929339408875,0.3569275438785553,0.41579538583755493,1,0,0,0,0.3399834632873535,61
32,32,0.8538085818290709,0.8507938385009766,0.8447310328483582,1,1,1,1,0.8567339777946472,41
33,33,0.3627858757972717,0.3497970998287201,0.32319003343582153,0,1,1,1,0.37532690167427063,73
34,34,0.46389240026474,0.4568786323070526,0.4420396089553833,1,1,1,1,0.4702208936214447,56
35,35,0.09317783266305923,0.09064782410860063,0.09060828387737274,0,1,1,0,0.09548740833997726,27
36,36,0.8353987336158752,0.8254268169403076,0.8006894588470459,1,1,1,1,0.8437126278877258,58
37,37,0.33712470531463623,0.3283101320266724,0.3076951503753662,1,1,1,1,0.34606149792671204,11
38,38,0.4858470559120178,0.4589957892894745,0.39828211069107056,1,1,1,1,0.5090916752815247,25
39,39,0.2918722331523895,0.2816879451274872,0.2899714708328247,1,1,1,0,0.3011283576488495,37
40,40,0.08102395385503769,0.09034617990255356,0.11015749722719193,0,0,0,0,0.08035699278116226,38
41,41,0.17639508843421936,0.20296145975589752,0.25676611065864563,0,0,0,0,0.15897151827812195,72
42,42,0.2409765273332596,0.2865302562713623,0.4006088674068451,0,1,0,0,0.2717609107494354,5
43,43,0.4283783733844757,0.3828339278697968,0.29313263297080994,0,1,1,0,0.47024962306022644,23
44,44,0.8863896131515503,0.8844749331474304,0.880460798740387,1,1,1,1,0.8883834481239319,56
45,45,0.9052282571792604,0.9044820666313172,0.9026272892951965,1,1,1,1,0.9058067798614502,22
46,46,0.3448411524295807,0.3059499561786652,0.23740142583847046,1,1,1,1,0.3850468695163727,41
47,47,0.9004995226860046,0.8980752229690552,0.8936731815338135,1,1,1,1,0.9030374884605408,58
48,48,0.1646912544965744,0.1885610967874527,0.24131807684898376,0,0,0,0,0.14926017820835114,21
49,49,0.3777667880058289,0.3494267463684082,0.3740359842777252,0,1,1,0,0.40579864382743835,76
50,50,0.3716032803058624,0.3650736510753632,0.3493691086769104,1,1,1,1,0.37745165824890137,4
51,51,0.2611387372016907,0.2364444881677628,0.20873497426509857,1,1,1,0,0.28540486097335815,6
52,52,0.8409185409545898,0.8301652073860168,0.8000456094741821,1,1,1,1,0.8493677973747253,9
53,53,0.3816949725151062,0.3650628328323364,0.3352201581001282,1,1,1,1,0.3993602693080902,57
54,54,0.2606993913650513,0.2547295987606049,0.24176111817359924,1,1,1,1,0.2651231288909912,2
55,55,0.3615383505821228,0.3275415599346161,0.3085176348686218,1,1,1,0,0.39564773440361023,32
56,56,0.7083708047866821,0.7008433341979979,0.6780511140823364,1,1,1,1,0.7140008211135864,71
57,57,0.5865523815155029,0.5766789317131042,0.5557830333709717,1,1,1,1,0.5959255695343018,52
58,58,0.3960142433643341,0.3940142691135407,0.3833131194114685,1,1,1,1,0.3949267864227295,42
59,59,0.2976187467575073,0.33251070976257324,0.4011324644088745,0,0,0,0,0.27741870284080505,30
60,60,0.2418316751718521,0.2581348419189453,0.29067912697792053,0,0,0,0,0.23336029052734375,99
61,61,0.18823470175266266,0.1860662251710892,0.17933014035224915,1,1,1,1,0.1897374391555786,27
62,62,0.21264193952083588,0.23246490955352786,0.27174389362335205,0,0,0,0,0.1947851926088333,31
63,63,0.07722552865743637,0.0865233987569809,0.10614868998527527,0,0,0,0,0.07693403959274292,38
64,64,0.4803593158721924,0.4448768198490143,0.36546632647514343,0,1,1,1,0.512688159942627,62
65,65,0.168723925948143,0.1714194416999817,0.1735481470823288,1,1,1,1,0.16390104591846466,35
66,66,0.1922963559627533,0.18537680804729464,0.17132824659347534,1,1,1,1,0.1987832486629486,43
67,67,0.23782925307750705,0.22147083282470706,0.23274189233779907,1,1,1,0,0.2556009292602539,82
68,68,0.7324032783508301,0.7254914641380309,0.7105046510696411,1,1,1,1,0.7390912175178528,63
69,69,0.12136522680521013,0.14018185436725614,0.20430439710617065,0,1,0,0,0.12572495639324188,83
70,70,0.13010384142398834,0.14475306868553162,0.17712967097759247,1,0,0,0,0.12750782072544098,66
71,71,0.13766765594482422,0.1467393934726715,0.22805358469486237,0,1,0,0,0.14023330807685852,89
72,72,0.2193958610296249,0.23414209485054016,0.27919846773147583,0,1,0,1,0.23917201161384583,36
73,73,0.6712222099304199,0.6616749167442322,0.6402007341384888,1,1,1,1,0.6801345944404602,91
74,74,0.4459406435489655,0.414587527513504,0.34731727838516235,0,1,1,1,0.4753342866897583,76
75,75,0.6738833785057068,0.6675893068313599,0.6527808904647827,1,1,1,1,0.6798182725906372,32
76,76,0.9081290960311892,0.9070461988449096,0.904646635055542,1,1,1,1,0.9095566272735596,82
77,77,0.5137197971343994,0.494322121143341,0.45599979162216187,1,1,1,1,0.5327534675598145,10
78,78,0.3351271450519562,0.3287184536457062,0.3146883249282837,1,1,1,1,0.3416016697883606,77
79,79,0.9028398990631104,0.9022788405418396,0.9010567665100098,0,1,1,1,0.9034211039543152,61
80,80,0.5256848335266113,0.4907944202423096,0.418606162071228,1,1,1,1,0.5593900084495544,71
81,81,0.3335031867027283,0.3338844180107117,0.3276210129261017,1,1,1,1,0.3303941786289215,78
82,82,0.697719395160675,0.6871489882469177,0.6654918789863586,1,1,1,1,0.7082326412200928,54
83,83,0.3404156267642975,0.3340074717998505,0.3206755816936493,1,1,1,1,0.3464771509170532,6
84,84,0.8564553260803223,0.8485801219940186,0.8287350535392761,1,1,1,1,0.8634833693504333,29
85,85,0.7334098219871521,0.7207009792327881,0.6894925236701965,1,1,1,1,0.744655966758728,89
86,86,0.6829950213432312,0.6729201078414917,0.6528228521347046,0,1,1,1,0.6925613880157471,99
87,87,0.08574356138706207,0.10561668872833252,0.15188705921173096,0,1,0,0,0.0883345976471901,31
88,88,0.19453853368759155,0.23285062611103055,0.3099300265312195,0,0,0,0,0.16057021915912628,35
89,89,0.29658836126327515,0.29484301805496216,0.3104455769062042,0,1,1,0,0.2973659634590149,73
90,90,0.3192639052867889,0.3215501606464386,0.36521846055984497,0,1,0,0,0.3291977643966675,10
91,91,0.5699743032455444,0.5487554669380188,0.5030555725097656,1,1,1,1,0.5898489952087402,18
92,92,0.13816502690315247,0.13342328369617462,0.1549609750509262,0,1,1,0,0.14278392493724823,4
93,93,0.5363028049468994,0.5187178254127502,0.48286473751068115,1,1,1,1,0.5527474284172058,21
94,94,0.26563772559165955,0.2849512994289398,0.32454800605773926,0,0,0,0,0.25344449281692505,90
95,95,0.14230778813362122,0.15746460855007172,0.18868814408779144,0,1,0,0,0.14473877847194672,31
96,96,0.10060307383537292,0.11587760597467422,0.15154162049293518,0,0,0,0,0.09526704996824265,6
97,97,0.2614758312702179,0.22748717665672305,0.24696531891822815,1,1,1,0,0.2967841327190399,75
98,98,0.3249478340148926,0.3059866428375244,0.26460206508636475,0,1,1,1,0.342317670583725,68
99,99,0.1506112515926361,0.16255533695220947,0.2064170241355896,0,1,0,0,0.16179953515529633,89
100,100,0.1429423689842224,0.14135172963142395,0.18934080004692078,0,1,0,0,0.1607445776462555,33
101,101,0.2964182198047638,0.2749785780906677,0.28748536109924316,0,1,1,0,0.31626707315444946,57
102,102,0.35447171330451965,0.3452139496803284,0.32253164052963257,1,1,1,1,0.3630511462688446,47
103,103,0.23653461039066315,0.23102439939975736,0.2794968783855438,0,1,1,0,0.24006426334381104,18
104,104,0.4037691354751587,0.3860945403575897,0.35544058680534363,1,1,1,1,0.4235285520553589,43
105,105,0.9183135628700256,0.9163402915000916,0.9120237827301025,1,1,1,1,0.9201431274414062,69
106,106,0.7913697361946106,0.7814635038375854,0.7640142440795898,1,1,1,1,0.8012653589248657,76
107,107,0.4727472066879273,0.4603403806686402,0.43666431307792664,1,1,1,1,0.48460251092910767,17
108,108,0.6386858224868774,0.6175051331520081,0.5682084560394287,1,1,1,1,0.658437967300415,57
109,109,0.7403727173805237,0.7194797396659851,0.6692357659339905,1,1,1,1,0.7590596675872803,59
110,110,0.6468406319618225,0.6308721899986267,0.5990681052207947,1,1,1,1,0.6627824902534485,25
111,111,0.86885005235672,0.8648163676261902,0.8545370101928711,1,1,1,1,0.8722565174102783,20
112,112,0.4864521324634552,0.4762427806854248,0.4489230215549469,1,1,1,1,0.49455371499061584,27
113,113,0.3012380003929138,0.28458371758461,0.3116629421710968,0,1,1,0,0.3167826235294342,83
114,114,0.13633891940116882,0.14103004336357114,0.1892133355140686,1,1,0,0,0.1506480723619461,9
115,115,0.3746326863765717,0.3625597059726715,0.3329026997089386,1,1,1,1,0.38491353392601013,71
116,116,0.4761124551296234,0.4524451494216919,0.4378926455974579,0,1,1,0,0.4996125102043152,48
117,117,0.3730837106704712,0.3619822263717651,0.34183526039123535,1,1,1,1,0.3839515745639801,43
118,118,0.5541024804115295,0.5317365527153015,0.4775903522968292,1,1,1,1,0.5729039311408997,57
119,119,0.894456148147583,0.8903467059135437,0.8797955513000488,1,1,1,1,0.8981784582138062,56
120,120,0.5174270868301392,0.4922425150871277,0.43828874826431274,1,1,1,1,0.5403568148612976,85
121,121,0.19458536803722384,0.20847755670547485,0.2655327022075653,0,1,0,0,0.20648430287837982,45
122,122,0.2379372417926789,0.2300628125667572,0.2266743928194046,1,1,1,0,0.24553267657756805,19
123,123,0.3262915313243866,0.3397471904754639,0.3718125522136688,0,1,0,0,0.3284876048564911,70
124,124,0.5156951546669006,0.510125994682312,0.4912388026714325,1,1,1,1,0.5183984041213989,33
125,125,0.4000943899154663,0.37408989667892456,0.32048457860946655,1,1,1,1,0.4252740144729614,20
126,126,0.2906743288040161,0.2861285805702209,0.31801003217697144,0,1,1,0,0.29428166151046753,3
127,127,0.08188766986131668,0.09596631675958632,0.12807446718215942,0,0,0,0,0.08169116079807281,80
128,128,0.6597460508346558,0.644024133682251,0.6083066463470459,1,1,1,1,0.6749196648597717,70
129,129,0.2922450304031372,0.2923884391784668,0.2902504503726959,1,1,1,1,0.2911200523376465,46
130,130,0.28252023458480835,0.2802462875843048,0.351097971200943,1,1,0,0,0.30589696764945984,11
131,131,0.8910086750984192,0.8890336155891418,0.8856944441795349,1,1,1,1,0.8931179642677307,16
132,132,0.17320525646209714,0.2001059204339981,0.29422399401664734,0,1,0,0,0.1980750858783722,81
133,133,0.2492090165615081,0.24676141142845154,0.23753418028354645,1,1,1,1,0.2517051100730896,74
134,134,0.2652527987957001,0.26084408164024353,0.24987846612930298,0,1,1,1,0.26896223425865173,3
135,135,0.8177775144577026,0.8112350106239319,0.796002209186554,1,1,1,1,0.8237245082855225,91
136,136,0.8520252108573914,0.8468526601791382,0.8336666226387024,1,1,1,1,0.8565168380737305,60
137,137,0.14727596938610074,0.144126296043396,0.16816739737987518,0,1,1,0,0.15008175373077393,97
138,138,0.6262596845626831,0.617173969745636,0.5988696813583374,1,1,1,1,0.6351521611213684,52
139,139,0.7575595378875732,0.7504749894142151,0.7330284714698792,1,1,1,1,0.7640184164047241,23
140,140,0.12426814436912535,0.1255568265914917,0.12742207944393158,1,1,1,1,0.12242767214775085,4
141,141,0.5131940245628357,0.4924317300319672,0.45386427640914917,1,1,1,1,0.5337487459182739,11
142,142,0.6900439262390137,0.6827962398529053,0.6660810112953186,1,1,1,1,0.6971611380577087,52
143,143,0.06634476780891417,0.07428040355443953,0.09193626791238785,0,0,0,0,0.061869408935308456,89
144,144,0.40294957160949707,0.4039245545864105,0.4027062654495239,0,1,1,1,0.4007841944694519,7
145,145,0.5708478689193726,0.5569202303886414,0.5280741453170776,1,1,1,1,0.5841981172561646,95
146,146,0.4135824739933014,0.4507567882537842,0.5248928666114807,0,0,0,0,0.40643319487571716,58
147,147,0.8258700966835022,0.8173322081565857,0.7985566258430481,1,1,1,1,0.8339019417762756,39
148,148,0.2509084641933441,0.23175862431526184,0.2182672619819641,0,1,1,0,0.27233466506004333,91
149,149,0.4386514127254486,0.4044680297374725,0.3314025104045868,1,1,1,1,0.47062182426452637,58
150,150,0.16313804686069489,0.15582703053951266,0.17908251285552979,0,1,1,0,0.16957354545593262,87
151,151,0.14317740499973294,0.14524376392364502,0.19616980850696564,1,1,0,0,0.14751741290092468,77
152,152,0.2372255325317383,0.23001085221767426,0.21407054364681244,0,1,1,1,0.24313275516033173,66
153,153,0.3704988062381744,0.3502795994281769,0.3390323519706726,0,1,1,0,0.39127036929130554,49
154,154,0.6771851181983948,0.6707773208618164,0.6572808027267456,1,1,1,1,0.6831839084625244,45
155,155,0.15616317093372345,0.13962770998477936,0.11254049092531204,1,1,1,0,0.1724509447813034,66
156,156,0.4076240658760071,0.4010846316814423,0.3867281675338745,1,1,1,1,0.41348856687545776,58
157,157,0.6789227128028871,0.6555362343788147,0.602857232093811,1,1,1,1,0.7007414102554321,20
158,158,0.27749693393707275,0.28360515832901,0.3229273557662964,0,1,0,0,0.28183603286743164,79
159,159,0.16191768646240234,0.15828262269496918,0.14843575656414032,0,1,1,1,0.1650652438402176,42
160,160,0.5363619923591614,0.5140281319618225,0.4582599699497223,1,1,1,1,0.5553664565086365,36
161,161,0.3471978604793549,0.325881689786911,0.29435479640960693,1,1,1,1,0.37739765644073486,8
162,162,0.05655912682414055,0.06204647570848465,0.07865016907453537,0,1,0,0,0.059421855956315994,77
163,163,0.7342370748519897,0.7156418561935425,0.6742421984672546,1,1,1,1,0.7511535286903381,10
164,164,0.08782733976840973,0.08736502379179001,0.09622177481651306,0,1,1,1,0.08790215849876404,74
165,165,0.3188967406749725,0.31078481674194336,0.30774232745170593,0,1,1,0,0.3254322409629822,52
166,166,0.9039573073387146,0.9030075669288636,0.901311993598938,1,1,1,1,0.9052098989486694,54
167,167,0.11950534582138066,0.12162260711193085,0.15793316066265106,1,1,0,0,0.12657210230827332,99
168,168,0.22891223430633545,0.2268378734588623,0.21820616722106934,1,1,1,1,0.23086267709732056,51
169,169,0.4032254219055176,0.386716365814209,0.3473544716835022,0,1,1,1,0.4157552123069763,45
170,170,0.5171354413032532,0.4775598347187042,0.39743033051490784,1,1,1,1,0.5539257526397705,9
171,171,0.2829661965370178,0.2802172303199768,0.2718002498149872,0,1,1,1,0.2847348153591156,45
172,172,0.07605582475662231,0.08947563171386719,0.11875829100608826,0,0,0,0,0.07271120697259903,74
173,173,0.23962010443210602,0.2396789193153381,0.34526824951171875,0,1,0,0,0.2698189616203308,16
174,174,0.8476570248603821,0.839451789855957,0.8213831782341003,1,1,1,1,0.8549686074256897,95
175,175,0.32129964232444763,0.30901917815208435,0.34071409702301025,0,1,1,0,0.33107343316078186,53
176,176,0.5645985007286072,0.5473659634590149,0.5100724697113037,0,1,1,1,0.5810421705245972,95
177,177,0.4277839064598084,0.4208016097545624,0.39946722984313965,1,1,1,1,0.43231967091560364,73
178,178,0.2070058286190033,0.19318661093711853,0.2177732288837433,0,1,1,0,0.22020351886749268,33
179,179,0.8326366543769836,0.8279696702957153,0.8149232268333435,1,1,1,1,0.8362703919410706,40
180,180,0.11688562482595445,0.1333288848400116,0.18372546136379242,1,1,0,0,0.15280835330486298,39
181,181,0.22149164974689484,0.21324096620082852,0.19646935164928436,1,1,1,1,0.2298659384250641,64
182,182,0.869968056678772,0.8674986362457275,0.8626829385757446,1,1,1,1,0.872329831123352,22
183,183,0.2267629653215409,0.2152040004730225,0.18980829417705536,0,1,1,1,0.2377842515707016,65
184,184,0.16078022122383118,0.1423737108707428,0.1787094920873642,0,1,1,0,0.17917579412460327,16
185,185,0.2755216658115387,0.2599530518054962,0.24897535145282745,1,1,1,0,0.29059091210365295,28
186,186,0.09420081228017807,0.11559261381626128,0.1674342304468155,0,0,0,0,0.08173053711652756,45
187,187,0.6103993654251099,0.5983421206474304,0.5732964277267456,1,1,1,1,0.6207020282745361,95
188,188,0.16750289499759674,0.19339708983898166,0.24536007642745972,0,0,0,0,0.14518268406391144,45
189,189,0.5277045369148254,0.5107039213180542,0.47571510076522827,1,1,1,1,0.5442817211151123,83
190,190,0.8799956440925598,0.8785129189491272,0.8753449320793152,1,1,1,1,0.8813762068748474,12
191,191,0.42098408937454224,0.4094121754169464,0.3866502046585083,0,1,1,1,0.4327954649925232,7
192,192,0.2222072035074234,0.21737515926361084,0.20687519013881683,1,1,1,1,0.22647704184055328,45
193,193,0.8169946074485779,0.8116684556007385,0.7985707521438599,1,1,1,1,0.8216666579246521,13
194,194,0.8894588947296143,0.8847161531448364,0.8719215989112854,1,1,1,1,0.8933185935020447,94
195,195,0.7717322111129761,0.7635664343833923,0.7459098696708679,1,1,1,1,0.7796366214752197,24
196,196,0.35851895809173584,0.33213937282562256,0.30277666449546814,0,1,1,0,0.3839338421821594,89
197,197,0.2508015036582947,0.22697363793849945,0.22969891130924225,1,1,1,0,0.27481767535209656,63
198,198,0.2600815296173096,0.2757163643836975,0.30706071853637695,1,0,0,0,0.26788023114204407,7
199,199,0.7695934176445007,0.7629687786102295,0.7452174425125122,1,1,1,1,0.7753040194511414,87
200,200,0.3031806647777557,0.2884207963943481,0.25693100690841675,1,1,1,1,0.3172270357608795,6
201,201,0.5026143789291382,0.4928600490093231,0.4663272500038147,1,1,1,1,0.5110642910003662,78
202,202,0.2878063917160034,0.2692839205265045,0.23138132691383362,1,1,1,1,0.3050316274166107,68
203,203,0.7697707414627075,0.7545614838600159,0.7241427898406982,1,1,1,1,0.7834899425506592,60
204,204,0.22975799441337585,0.2107620984315872,0.17834621667861938,1,1,1,1,0.2503754496574402,6
205,205,0.6549679636955261,0.6390309333801271,0.6058571338653564,1,1,1,1,0.6696394085884094,23
206,206,0.2781121134757996,0.2968210279941559,0.3350112736225128,1,0,0,0,0.26651450991630554,44
207,207,0.2982465922832489,0.3013111352920532,0.2997514009475708,1,1,1,1,0.29289117455482483,31
208,208,0.18325605988502505,0.2063906192779541,0.25830814242362976,0,0,0,0,0.16347593069076538,59
209,209,0.26962187886238104,0.2461867332458496,0.20326948165893555,1,1,1,1,0.2925208806991577,93
210,210,0.2079848051071167,0.19774074852466586,0.24000047147274017,0,1,0,0,0.22299884259700775,67
211,211,0.2434806525707245,0.25765645503997797,0.2854185402393341,0,0,0,0,0.24715620279312134,46
212,212,0.36706703901290894,0.3419128358364105,0.31502267718315125,0,1,1,0,0.3914003372192383,17
213,213,0.2437258213758469,0.24252940714359286,0.23526185750961304,0,1,1,1,0.24328553676605225,33
214,214,0.7956134676933289,0.7862057685852051,0.769477128982544,1,1,1,1,0.8055090308189392,97
215,215,0.09766194224357604,0.09581566601991652,0.11654923856258392,0,1,1,0,0.09872670471668243,33
216,216,0.6271775364875793,0.6005846858024597,0.540858268737793,0,1,1,1,0.6530399322509766,53
217,217,0.2012377381324768,0.21239404380321505,0.24174949526786804,1,1,0,0,0.21163353323936462,67
218,218,0.32542622089385986,0.29607951641082764,0.3889491856098175,0,1,0,0,0.3589157164096832,83
219,219,0.3198379576206207,0.3403433561325073,0.38060262799263,1,1,1,1,0.29970958828926086,81
220,220,0.5403767228126526,0.5065531730651855,0.42935749888420105,1,1,1,1,0.5705853700637817,94
221,221,0.09270762652158736,0.11796826124191286,0.17902496457099915,0,0,0,0,0.07864701747894287,71
222,222,0.1030082032084465,0.0971798226237297,0.12430337071418762,0,1,0,0,0.11566940695047379,23
223,223,0.26441967487335205,0.2487502843141556,0.21544967591762543,1,1,1,0,0.2783206105232239,77
224,224,0.6296753883361816,0.6178714036941528,0.5572481751441956,1,1,1,1,0.6398199796676636,12
225,225,0.1910982728004456,0.1822296231985092,0.16529440879821777,0,1,1,1,0.19966639578342438,44
226,226,0.5181417465209961,0.4971210658550263,0.4524858593940735,1,1,1,1,0.5381999015808105,0
227,227,0.27588945627212524,0.25995373725891113,0.30210158228874207,0,1,1,0,0.28930139541625977,25
228,228,0.07313591241836548,0.08821196109056473,0.12477923929691315,1,0,0,0,0.07169996201992035,79
229,229,0.7138075828552246,0.7021761536598206,0.6761603355407715,1,1,1,1,0.7242785096168518,71
230,230,0.2466454803943634,0.2332989275455475,0.27298465371131897,0,1,1,0,0.25909557938575745,17
231,231,0.4804286062717438,0.528984010219574,0.622317373752594,0,0,0,0,0.4467275142669678,0
232,232,0.7192283868789673,0.7115669846534729,0.6925995349884033,0,1,1,1,0.7260843515396118,59
233,233,0.894526481628418,0.8935751914978027,0.8917735815048218,1,1,1,1,0.8953095078468323,24
234,234,0.44045722484588623,0.4277069568634033,0.39977067708969116,1,1,1,1,0.4522444009780884,65
235,235,0.13397833704948425,0.15396714210510254,0.2113683521747589,0,1,0,0,0.1511455625295639,70
236,236,0.15098343789577484,0.14361922442913055,0.18684566020965576,1,1,0,0,0.1651340126991272,32
237,237,0.2924900949001312,0.27330228686332697,0.24106286466121674,1,1,1,1,0.312430739402771,36
238,238,0.887581467628479,0.8841723203659058,0.8760504722595215,1,1,1,1,0.8907158970832825,82
239,239,0.1929030567407608,0.16814549267292025,0.2175435721874237,0,1,0,0,0.2292490005493164,56
240,240,0.7726675271987915,0.7626504898071289,0.7415348291397095,1,1,1,1,0.781773567199707,23
241,241,0.8109264373779297,0.8071746826171875,0.7996190190315247,1,1,1,1,0.8145707845687866,24
242,242,0.2850127220153809,0.2754070460796356,0.2555367350578308,1,1,1,1,0.29453787207603455,34
243,243,0.3305117189884186,0.3199183940887451,0.29477035999298096,1,1,1,1,0.338505357503891,21
244,244,0.5266246795654297,0.5094012618064879,0.47550487518310547,1,1,1,1,0.5433735251426697,11
245,245,0.3855698108673096,0.366540253162384,0.37720754742622375,0,1,1,0,0.40591081976890564,62
246,246,0.1934870183467865,0.1891528815031052,0.18087942898273468,1,1,1,1,0.19637788832187653,80
247,247,0.1449420303106308,0.15858647227287292,0.18873810768127441,1,1,0,0,0.153285413980484,44
248,248,0.2101246863603592,0.2020506113767624,0.18573465943336487,0,1,1,1,0.21823720633983612,33
249,249,0.4453383982181549,0.4138416349887848,0.35022202134132385,0,1,1,1,0.4766605496406555,22
250,250,0.6978329420089722,0.6906912326812744,0.6741381883621216,1,1,1,1,0.7037175893783569,91
251,251,0.686593234539032,0.6723082065582275,0.6343035697937012,1,1,1,1,0.69722580909729,16
252,252,0.07024224102497101,0.08134473115205765,0.10673633962869644,0,0,0,0,0.06183837354183197,32
253,253,0.25503820180892944,0.2927069664001465,0.3807462155818939,1,1,0,0,0.29125526547431946,68
254,254,0.2573808729648589,0.2563791275024414,0.24974532425403595,1,1,1,1,0.25733479857444763,50
255,255,0.13437722623348236,0.13052105903625488,0.12189286202192307,0,1,1,1,0.13660907745361328,38
256,256,0.07120021432638167,0.06589263677597046,0.078994020819664,0,1,1,0,0.07721208781003952,8
257,257,0.12479676306247713,0.11737953126430513,0.14220058917999268,0,1,1,0,0.13195078074932098,75
258,258,0.14357313513755798,0.15235641598701474,0.19895201921463013,0,1,0,0,0.15327221155166626,44
259,259,0.17581234872341156,0.17561092972755432,0.2165430635213852,0,1,0,0,0.17773236334323883,43
260,260,0.1714860051870346,0.16408546268939972,0.17762593924999237,0,1,1,0,0.17847606539726257,38
261,261,0.8610381484031677,0.8578912019729614,0.8494778871536255,1,1,1,1,0.8639645576477051,76
262,262,0.2262793928384781,0.2263215184211731,0.2725119888782501,0,1,0,0,0.23678931593894958,13
263,263,0.10357597470283507,0.1271345466375351,0.17986008524894714,1,0,0,0,0.10289013385772705,55
264,264,0.20559684932231906,0.18743352591991425,0.20900361239910126,1,1,1,0,0.2240433543920517,19
265,265,0.8449031114578247,0.8350037336349487,0.8114892840385437,1,1,1,1,0.8542855978012085,91
266,266,0.6044010519981384,0.5678036212921143,0.48270729184150696,0,1,1,1,0.6366662979125977,82
267,267,0.6228033900260925,0.605252742767334,0.5633525848388672,1,1,1,1,0.6387678980827332,1
